,Date,close,MACD^STOCH,CCI^STOCH,MA5&MA10^STOCH,MA5&MA10^MA5&MA15,MA5&MA15^STOCH,MA5&MA15^MA5&MA15,MA5&MA15^MA10&MA15,MA5&MA15^MA10&MA30,MA10&MA15^MACD,MA10&MA15^STOCH,MA10&MA15^MA5&MA30,MA10&MA30^STOCH,MA10&MA30^MA5&MA15,MA15&MA30^STOCH,MA15&MA30^MA5&MA15
93,2011-01-07,24.6259155273,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
94,2011-01-10,25.2541275024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,2011-01-11,25.3378887177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,2011-01-12,25.4216499329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,2011-01-13,26.1336231232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,2011-01-14,25.0447235107,-1,-1,-1,0,-1,0,0,0,0,-1,0,0,0,-1,0
99,2011-01-17,23.955821991,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
100,2011-01-18,24.7515563965,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,-1
101,2011-01-19,24.877199173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,2011-01-20,24.6677951813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,2011-01-21,24.2071075439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,2011-01-24,23.9139404297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,2011-01-25,24.9609603882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,2011-01-26,25.128484726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,2011-01-27,25.5472927094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,2011-01-28,25.5472927094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,2011-02-08,25.0447235107,-1,-1,-1,0,-1,0,0,0,0,-1,0,0,0,-1,0
110,2011-02-09,25.2960071564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,2011-02-10,24.835319519,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
112,2011-02-11,23.5370140076,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
113,2011-02-14,24.7934379578,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,-1
114,2011-02-15,24.1652259827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,2011-02-16,23.6626567841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,2011-02-17,22.783159256,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0
117,2011-02-18,23.2857284546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,2011-02-21,23.3276100159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,2011-02-22,22.1549472809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,2011-02-23,21.4848537445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,2011-02-24,21.5686168671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,2011-02-25,21.9455432892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,2011-03-01,22.9506835938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,2011-03-02,22.8669204712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,2011-03-03,22.6575164795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,2011-03-04,22.4481124878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,2011-03-07,21.3592128754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,2011-03-08,20.7728805542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,2011-03-09,20.940404892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,2011-03-10,20.689119339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,2011-03-11,20.940404892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,2011-03-14,20.2284297943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,2011-03-15,19.1395282745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,2011-03-16,19.3489322662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,2011-03-17,19.7677402496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,2011-03-18,20.0609073639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,2011-03-21,20.2703113556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,2011-03-22,20.6053562164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,2011-03-23,20.5634765625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,2011-03-24,20.8566417694,-1,-1,-1,0,-1,0,0,0,0,-1,0,0,0,-1,0
141,2011-03-25,20.689119339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,2011-03-28,20.4797153473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,2011-03-29,20.7310009003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,2011-03-30,20.7728805542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,2011-03-31,20.4797153473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,2011-04-01,20.689119339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,2011-04-06,20.437833786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,2011-04-07,21.6523761749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,2011-04-08,21.5267353058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,2011-04-11,21.0241641998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,2011-04-12,20.7728805542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,2011-04-13,21.4848537445,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
153,2011-04-14,21.6942577362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,2011-04-15,21.1079273224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,2011-04-18,21.2335681915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,2011-04-19,21.0241641998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,2011-04-20,21.3173313141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,2011-04-21,21.7361392975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,2011-04-22,22.0711860657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,2011-04-25,23.5788955688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,2011-04-26,23.2857284546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
