,Date,close,BOP^BOP,MA5&TRIMA5^MA5&TRIMA5,MA5&TRIMA5^SMA5&TRIMA5,SMA5&TRIMA5^MA5&TRIMA5,SMA5&TRIMA5^SMA5&TRIMA5,EMA20&TEMA60^KAMA10&EMA60,EMA20&TEMA60^DEMA60&MA60,EMA20&TEMA60^DEMA60&SMA60,WMA20&TEMA60^DEMA60&EMA60,KAMA60&MA60^KAMA5&EMA60,KAMA60&MA60^EMA10&DEMA20,KAMA60&MA60^TRIMA60&WMA60,KAMA60&SMA60^EMA10&DEMA20,KAMA60&SMA60^TRIMA60&WMA60,KAMA60&TRIMA60^KAMA5&EMA60
85,2022-09-22,464.5,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
86,2022-09-23,455.0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2022-09-26,446.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,2022-09-27,448.0,-1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
89,2022-09-28,438.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,2022-02-07,635.0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,2022-09-29,435.0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
92,2022-09-30,422.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,2022-10-03,417.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,2022-10-04,429.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
95,2022-10-05,445.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,2022-10-06,451.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,2022-10-07,438.0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
98,2022-10-11,401.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,2022-10-12,397.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2022-10-13,395.0,-1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
101,2022-02-08,628.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
102,2022-10-14,412.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,2022-10-17,397.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,2022-10-18,407.0,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
105,2022-10-19,395.5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,2022-10-20,397.5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
107,2022-10-21,389.5,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
108,2022-10-24,387.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
109,2022-10-25,371.0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
110,2022-10-26,376.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
111,2022-10-27,385.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,2022-01-05,650.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,2022-02-09,633.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,2022-10-28,379.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,2022-10-31,390.0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
116,2022-11-01,391.5,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
117,2022-11-02,395.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,2022-11-03,384.0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
119,2022-11-04,382.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,2022-11-07,390.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
121,2022-11-08,399.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,2022-11-09,417.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,2022-11-10,407.5,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
124,2022-02-10,649.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,2022-11-11,441.5,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
126,2022-11-14,445.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,2022-11-15,480.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,2022-11-16,487.0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
129,2022-11-17,485.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,2022-11-18,487.0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,2022-11-21,482.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,2022-11-22,491.0,1,1,1,1,1,0,0,0,0,0,-1,-1,-1,-1,0
133,2022-11-23,492.0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,2022-11-24,496.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,2022-02-11,650.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,2022-11-25,498.0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
137,2022-11-28,480.5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,2022-11-29,487.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,2022-11-30,490.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
140,2022-12-01,498.5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,2022-12-02,492.5,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
142,2022-12-05,489.0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,2022-12-06,478.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,2022-12-07,475.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,2022-12-08,471.5,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
146,2022-02-14,637.0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
147,2022-12-09,481.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,2022-12-12,475.0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
