,Date,close,BOP^BOP,MA5&TRIMA5^MA5&TRIMA5,MA5&TRIMA5^SMA5&TRIMA5,SMA5&TRIMA5^MA5&TRIMA5,SMA5&TRIMA5^SMA5&TRIMA5,KAMA10&MA60^DEMA60&TEMA60,KAMA10&SMA60^DEMA60&TEMA60,EMA20&DEMA60^KAMA10&EMA60,EMA20&DEMA60^DEMA20&EMA60,EMA20&DEMA60^EMA20&MA60,EMA20&DEMA60^TRIMA20&MA60,EMA20&DEMA60^TRIMA20&SMA60,EMA20&DEMA60^WMA20&EMA60,EMA20&DEMA60^WMA20&MA60,EMA20&DEMA60^WMA20&SMA60
119,2022-11-04,27.1499996185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,2022-11-07,27.25,-1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
121,2022-11-08,26.6499996185,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
122,2022-11-09,27.2999992371,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,2022-11-10,26.4500007629,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,2022-02-10,22.0499992371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,2022-11-11,26.3999996185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,2022-11-14,27.2999992371,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
127,2022-11-15,26.5499992371,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,2022-11-16,26.5,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
129,2022-11-17,27.1000003815,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
130,2022-11-18,28.0499992371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,2022-11-21,28.8500003815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,2022-11-22,28.8500003815,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
133,2022-11-23,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,2022-11-24,27.7000007629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,2022-02-11,22.2000007629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,2022-11-25,27.0499992371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,2022-11-28,28.4500007629,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
138,2022-11-29,28.2999992371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,2022-11-30,29.6000003815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,2022-12-01,30.1499996185,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,2022-12-02,29.0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
142,2022-12-05,28.9500007629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,2022-12-06,28.3999996185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,2022-12-07,28.25,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
145,2022-12-08,29.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,2022-02-14,21.6499996185,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,2022-12-09,29.0499992371,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,2022-12-12,28.6000003815,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
149,2022-12-13,28.2000007629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,2022-12-14,28.6000003815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,2022-02-15,22.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,2022-02-16,22.7999992371,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
153,2022-02-17,22.0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,2022-02-18,22.5,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
155,2022-02-21,22.3999996185,-1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
156,2022-02-22,21.3999996185,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
157,2022-01-06,21.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,2022-02-23,21.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,2022-02-24,20.1000003815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,2022-02-25,20.3999996185,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
161,2022-03-01,20.8500003815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,2022-03-02,21.1000003815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,2022-03-03,21.2999992371,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
164,2022-03-04,20.8999996185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,2022-03-07,20.2999992371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,2022-03-08,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,2022-03-09,20.3999996185,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
