Unnamed: 0,Date,Trading_Strategy,Transaction_Type,Stock_price,Transaction_amount,Return_money,Rate_of_Return,0,1,2,3,4,5,6
220.0,2012-02-22,MA5&MA10^MA5&MA15,1.0,18.058839798,18000.0,,,,,,,,,
221.0,2012-02-29,MA5&MA10^MA5&MA15,-1.0,18.9802093506,18000.0,918.0,0.051,,,,,,,
222.0,2012-03-14,MA5&MA10^MA5&MA15,1.0,19.2566204071,18000.0,,,,,,,,,
223.0,2012-03-15,MA5&MA10^MA5&MA15,-1.0,18.9802093506,18000.0,-258.0,-0.0143333333333333,,,,,,,
504.0,2012-03-21,MA10&MA15^MA5&MA30,1.0,18.9341411591,27500.000000000004,,,,,,,,,
505.0,2012-03-26,MA10&MA15^MA5&MA30,-1.0,18.381319046,27500.000000000004,-802.0,-0.0291636363636363,,,,,,,
224.0,2012-04-27,MA5&MA10^MA5&MA15,1.0,15.8475532532,18000.0,,,,,,,,,
225.0,2012-05-02,MA5&MA10^MA5&MA15,-1.0,16.3543071747,18000.0,575.0,0.0319444444444444,,,,,,,
266.0,2012-05-04,MA5&MA15^STOCH,1.0,17.0914020538,12000.0,,,,,,,,,
304.0,2012-05-04,MA5&MA15^MA5&MA15,1.0,17.0914020538,14000.000000000002,,,,,,,,,
305.0,2012-05-07,MA5&MA15^MA5&MA15,-1.0,16.6767864227,14000.000000000002,-339.0,-0.0242142857142857,,,,,,,
506.0,2012-05-07,MA10&MA15^MA5&MA30,1.0,16.6767864227,27500.000000000004,,,,,,,,,
267.0,2012-05-07,MA5&MA15^STOCH,-1.0,16.6767864227,12000.0,-291.0,-0.02425,,,,,,,
507.0,2012-05-09,MA10&MA15^MA5&MA30,-1.0,16.8610591888,27500.000000000004,303.0,0.0110181818181818,,,,,,,
226.0,2012-06-12,MA5&MA10^MA5&MA15,1.0,13.5901975632,18000.0,,,,,,,,,
306.0,2012-06-14,MA5&MA15^MA5&MA15,1.0,13.8205413818,14000.000000000002,,,,,,,,,
268.0,2012-06-14,MA5&MA15^STOCH,1.0,13.8205413818,12000.0,,,,,,,,,
227.0,2012-06-14,MA5&MA10^MA5&MA15,-1.0,13.8205413818,18000.0,305.0,0.0169444444444444,,,,,,,
