,Date,close,BOP^BOP,MA5&TRIMA5^MA5&TRIMA5,MA5&TRIMA5^SMA5&TRIMA5,SMA5&TRIMA5^MA5&TRIMA5,SMA5&TRIMA5^SMA5&TRIMA5,EMA60&WMA60^KAMA10&TRIMA60,EMA60&WMA60^KAMA10&WMA60,EMA60&WMA60^KAMA20&EMA60,EMA60&WMA60^MA20&EMA60,EMA60&WMA60^MA20&TRIMA60,EMA60&WMA60^SMA20&EMA60,EMA60&WMA60^TRIMA20&EMA60,EMA60&WMA60^WMA20&EMA60,EMA60&WMA60^DEMA60&EMA60,EMA60&WMA60^DEMA60&WMA60
118,2011-06-28,57.6500015259,-1,1,1,1,1,0,0,0,0,0,0,-1,0,-1,0
119,2011-06-29,58.6500015259,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,2011-06-30,58.8499984741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,2011-07-01,59.7000007629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,2011-07-04,60.0499992371,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
123,2011-07-05,59.9500007629,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,2010-09-29,57.7999992371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,2011-07-06,60.5999984741,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,2011-07-07,60.3499984741,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,2011-07-08,60.0499992371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,2011-07-11,59.6500015259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,2011-07-12,58.7000007629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,2011-07-13,58.7000007629,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,2011-07-14,58.9000015259,-1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
132,2011-07-15,59.2000007629,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,2011-07-18,59.0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
134,2011-07-19,58.9000015259,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
135,2010-09-30,57.7000007629,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
136,2011-07-20,60.4500007629,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
137,2011-07-21,60.5999984741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,2011-07-22,61.0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
139,2011-07-25,60.4000015259,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,2011-07-26,61.2000007629,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,2011-07-27,61.3499984741,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
142,2011-07-28,60.8499984741,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
143,2011-07-29,59.9000015259,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,2011-08-01,60.3499984741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,2011-08-02,59.5499992371,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
146,2010-10-01,57.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,2011-08-03,58.5999984741,0,-1,-1,-1,-1,0,0,0,0,-1,0,0,-1,0,0
148,2011-08-04,57.8499984741,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-1
149,2011-08-05,54.4500007629,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
150,2011-08-08,53.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,2011-08-09,53.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
152,2011-08-10,54.0999984741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,2011-08-11,54.0999984741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,2011-08-12,53.5499992371,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
155,2011-08-15,54.5999984741,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0
156,2011-08-16,54.3499984741,-1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
157,2010-10-04,57.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,2011-08-17,53.9500007629,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
159,2011-08-18,52.9500007629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,2011-08-19,51.0999984741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,2011-08-22,51.5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
162,2011-08-23,53.2999992371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,2011-08-24,52.5999984741,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,2011-08-25,52.3499984741,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
165,2011-08-26,53.0499992371,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,2011-08-29,53.7999992371,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
167,2011-08-30,54.2000007629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,2010-10-05,57.4000015259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,2011-08-31,54.5499992371,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
170,2011-09-01,55.1500015259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,2011-09-02,55.1500015259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,2011-09-05,53.5999984741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,2011-09-06,52.5499992371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,2011-09-07,53.5499992371,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
175,2011-09-08,53.7000007629,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,2011-09-09,54.1500015259,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,2011-09-13,52.6500015259,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
178,2011-09-14,51.5999984741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,2010-10-06,57.75,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
180,2011-09-15,52.8499984741,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
181,2011-09-16,54.0999984741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,2011-09-19,53.2000007629,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,2011-09-20,53.4000015259,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
184,2011-09-21,53.5999984741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,2011-09-22,52.0999984741,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,2011-09-23,50.3499984741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,2011-09-26,49.3199996948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,2011-09-27,51.0999984741,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
189,2011-09-28,51.1500015259,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,2010-10-07,57.9500007629,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,2011-09-29,51.5999984741,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,2011-09-30,51.6500015259,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
193,2011-10-03,50.2999992371,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,2011-10-04,50.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,2011-10-05,50.25,-1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
