,Date,close,BOP^BOP,MA5&TRIMA5^MA5&TRIMA5,MA5&TRIMA5^SMA5&TRIMA5,SMA5&TRIMA5^MA5&TRIMA5,SMA5&TRIMA5^SMA5&TRIMA5,EMA60&WMA60^KAMA10&TRIMA60,EMA60&WMA60^KAMA10&WMA60,EMA60&WMA60^KAMA20&EMA60,EMA60&WMA60^MA20&EMA60,EMA60&WMA60^MA20&TRIMA60,EMA60&WMA60^SMA20&EMA60,EMA60&WMA60^TRIMA20&EMA60,EMA60&WMA60^WMA20&EMA60,EMA60&WMA60^DEMA60&EMA60,EMA60&WMA60^DEMA60&WMA60
196,2011-10-06,51.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,2011-10-07,51.5499992371,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,2011-10-11,53.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,2011-10-12,52.8499984741,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
200,2011-10-13,52.7999992371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,2010-10-08,57.5999984741,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
202,2011-10-14,52.4500007629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,2011-10-17,53.0999984741,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
204,2011-10-18,52.5499992371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,2011-10-19,52.3499984741,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
206,2011-10-20,51.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,2011-10-21,51.9500007629,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
208,2011-10-24,53.5999984741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,2011-10-25,53.5999984741,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,2011-10-26,52.1500015259,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
211,2011-10-27,52.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,2010-10-11,56.9500007629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,2011-10-28,52.4000015259,-1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
214,2011-10-31,52.2000007629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,2011-11-01,52.5499992371,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
216,2011-11-02,52.4000015259,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
217,2011-11-03,51.4500007629,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
218,2011-11-04,52.2999992371,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,2011-11-07,52.4000015259,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
220,2011-11-08,52.1500015259,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,2011-11-09,52.2000007629,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
222,2011-11-10,50.5499992371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,2010-09-02,54.0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,2010-10-12,56.2000007629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,2011-11-11,50.9000015259,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,2011-11-14,52.1500015259,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
227,2011-11-15,51.8499984741,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,2011-11-16,51.2000007629,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
229,2011-11-17,51.3499984741,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,2011-11-18,50.2999992371,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,2011-11-21,49.2299995422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,2011-11-22,49.0200004578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,2011-11-23,47.8499984741,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
234,2011-11-24,47.8600006104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,2010-10-13,56.5499992371,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
236,2011-11-25,47.4399986267,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,2011-11-28,48.2900009155,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,2011-11-29,48.7200012207,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,2011-11-30,48.0800018311,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
240,2011-12-01,50.2999992371,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
241,2011-12-02,49.8199996948,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,2011-12-05,49.6599998474,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
243,2011-12-06,48.6899986267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,2011-12-07,49.2000007629,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
245,2011-12-08,48.8600006104,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,2010-10-14,57.4500007629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,2011-12-09,48.2400016785,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
248,2011-12-12,48.7999992371,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,2011-12-13,48.5499992371,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
250,2011-12-14,48.5900001526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,2011-12-15,47.5,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
252,2011-12-16,47.7000007629,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,2011-12-19,46.7400016785,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,2011-12-20,47.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
255,2011-12-21,49.2799987793,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,2011-12-22,49.1599998474,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,2010-10-15,57.3499984741,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,2011-12-23,50.0,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
259,2011-12-26,49.9500007629,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,2011-12-27,49.8499984741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,2011-12-28,49.5699996948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,2011-12-29,49.6100006104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,2011-12-30,49.8100013733,-1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
264,2012-01-02,49.0600013733,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
265,2012-01-03,49.7000007629,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,2012-01-04,50.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
267,2012-01-05,50.1500015259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,2010-10-18,56.2000007629,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
269,2012-01-06,50.0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
270,2012-01-09,49.8100013733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,2012-01-10,50.7000007629,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
272,2012-01-11,50.6500015259,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
