,Date,close,BOP^BOP,MA5&TRIMA5^MA5&TRIMA5,MA5&TRIMA5^SMA5&TRIMA5,MA5&KAMA10^DEMA60&KAMA60,MA5&KAMA10^DEMA60&WMA60,SMA5&TRIMA5^MA5&TRIMA5,SMA5&TRIMA5^SMA5&TRIMA5,SMA5&KAMA10^DEMA60&KAMA60,SMA5&KAMA10^DEMA60&WMA60,TRIMA5&KAMA10^DEMA60&EMA60,TRIMA5&KAMA10^DEMA60&KAMA60,TRIMA5&KAMA10^DEMA60&WMA60,EMA10&KAMA20^DEMA60&EMA60,EMA10&KAMA20^DEMA60&KAMA60,EMA10&KAMA20^DEMA60&WMA60
49,2022-03-23,138.1000061035,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
50,2022-03-24,138.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2022-03-25,138.1999969482,-1,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0
52,2022-03-28,136.6999969482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2022-03-29,136.8500061035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,2022-03-30,138.5500030518,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
55,2022-03-31,138.1000061035,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2022-04-01,136.9499969482,1,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0
57,2022-04-06,136.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2022-04-07,133.8000030518,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,2022-04-08,134.5500030518,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
60,2022-04-11,132.4499969482,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,2022-04-12,132.5500030518,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,2022-04-13,135.0500030518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,2022-04-14,134.5500030518,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,2022-04-15,132.25,0,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0
65,2022-04-18,131.5500030518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,2022-04-19,132.0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
67,2022-04-20,132.6499938965,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,2022-04-21,132.75,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,2022-04-22,131.6000061035,1,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0
70,2022-04-25,129.25,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,2022-04-26,129.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,2022-04-27,126.5500030518,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
73,2022-04-28,127.0999984741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,2022-04-29,128.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2022-05-03,127.8000030518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,2022-05-04,127.8000030518,0,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0
77,2022-05-05,129.25,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
78,2022-05-06,126.6500015259,1,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0
79,2022-05-09,124.5500030518,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,2022-05-10,124.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,2022-05-11,124.1999969482,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
82,2022-05-12,121.25,-1,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0
83,2022-05-13,122.3499984741,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,2022-05-16,123.0,-1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
85,2022-05-17,124.3499984741,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,2022-05-18,125.6999969482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2022-05-19,123.3000030518,-1,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0
88,2022-05-20,124.6500015259,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,2022-05-23,124.9000015259,-1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
90,2022-05-24,123.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,2022-05-25,124.4499969482,1,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0
92,2022-05-26,122.9000015259,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,2022-05-27,125.5,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
94,2022-05-30,128.5500030518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,2022-05-31,129.8000030518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,2022-06-01,129.1499938965,-1,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0
97,2022-06-02,127.8000030518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,2022-06-06,128.6999969482,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,2022-06-07,127.4000015259,-1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
100,2022-06-08,128.8000030518,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,2022-06-09,128.3999938965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,2022-06-10,127.0999984741,0,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0
103,2022-06-13,123.5500030518,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,2022-06-14,123.3499984741,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,2022-06-15,122.75,-1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
106,2022-06-16,122.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,2022-06-17,120.8499984741,0,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0
108,2022-06-20,119.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,2022-06-21,122.1999969482,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
110,2022-06-22,119.5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,2022-06-23,117.9000015259,0,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0
112,2022-06-24,118.1500015259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,2022-06-27,120.9499969482,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
114,2022-06-28,119.8000030518,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,2022-06-29,118.8000030518,1,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0
116,2022-06-30,115.8000030518,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,2022-07-01,111.5500030518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,2022-07-04,110.4499969482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,2022-07-05,111.0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
120,2022-07-06,108.8499984741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,2022-07-07,112.0999984741,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,2022-07-08,113.25,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,2022-07-11,112.25,0,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0
124,2022-07-12,109.5500030518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,2022-07-13,113.4499969482,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
126,2022-07-14,114.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,2022-07-15,115.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,2022-07-18,114.1999969482,-1,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0
129,2022-07-19,114.3000030518,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,2022-07-20,115.0500030518,-1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
131,2022-07-21,116.3499984741,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,2022-07-22,116.8000030518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,2022-07-25,116.6999969482,0,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0
134,2022-07-26,115.6500015259,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,2022-07-27,116.6999969482,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,2022-07-28,116.9000015259,-1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
137,2022-07-29,118.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,2022-08-01,117.6500015259,0,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0
139,2022-08-02,115.5500030518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,2022-08-03,116.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,2022-08-04,116.5500030518,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
142,2022-08-05,119.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,2022-08-08,119.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,2022-08-09,119.1500015259,0,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0
145,2022-08-10,117.9000015259,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,2022-08-11,120.0500030518,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
147,2022-08-12,120.8000030518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,2022-08-15,121.9000015259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,2022-08-16,122.0999984741,0,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0
150,2022-08-17,122.1500015259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,2022-08-18,121.3499984741,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,2022-08-19,121.5500030518,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,2022-08-22,120.0500030518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,2022-08-23,118.1999969482,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,2022-08-24,117.9000015259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,2022-08-25,119.0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
157,2022-08-26,119.5999984741,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,2022-08-29,116.5500030518,1,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0
159,2022-08-30,116.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,2022-08-31,117.5999984741,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
161,2022-09-01,115.1500015259,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,2022-09-02,113.9000015259,0,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0
163,2022-09-05,114.1500015259,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
164,2022-09-06,114.9000015259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,2022-09-07,112.1999969482,-1,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0
166,2022-09-08,113.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,2022-09-12,115.4000015259,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
168,2022-09-13,116.0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,2022-09-14,113.6500015259,1,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0
170,2022-09-15,113.8499984741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,2022-09-16,112.5500030518,-1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
172,2022-09-19,112.0500030518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,2022-09-20,113.0500030518,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,2022-09-21,112.0999984741,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,2022-09-22,110.75,1,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0
176,2022-09-23,109.6999969482,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,2022-09-26,107.6500015259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,2022-09-27,107.5,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
179,2022-09-28,105.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,2022-09-29,104.9000015259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,2022-09-30,103.4499969482,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,2022-10-03,102.1999969482,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,2022-10-04,104.8000030518,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,2022-10-05,107.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,2022-10-06,108.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,2022-10-07,106.1999969482,-1,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0
187,2022-10-11,100.6999969482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,2022-10-12,100.1999969482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,2022-10-13,99.0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
190,2022-10-14,101.8499984741,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,2022-10-17,99.9499969482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,2022-10-18,101.0999984741,0,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0
193,2022-10-19,99.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,2022-10-20,99.1999969482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,2022-10-21,98.9000015259,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,2022-10-24,98.5999984741,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
197,2022-10-25,96.6999969482,0,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0
198,2022-10-26,97.5999984741,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,2022-10-27,99.0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
200,2022-10-28,97.75,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,2022-10-31,99.0500030518,1,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0
202,2022-11-01,99.5999984741,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
203,2022-11-02,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,2022-11-03,98.6999969482,0,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0
205,2022-11-04,98.8499984741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,2022-11-07,100.5500030518,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
207,2022-11-08,101.5999984741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,2022-11-09,104.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,2022-11-10,103.5,0,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0
210,2022-11-11,109.0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
211,2022-11-14,110.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,2022-11-15,114.6999969482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,2022-11-16,114.5,-1,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0
214,2022-11-17,114.5500030518,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,2022-11-18,114.25,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,2022-11-21,113.8499984741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,2022-11-22,114.8000030518,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
218,2022-11-23,115.5999984741,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,2022-11-24,116.6999969482,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,2022-11-25,116.6999969482,0,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0
221,2022-11-28,114.3499984741,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,2022-11-29,115.4000015259,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,2022-11-30,116.3499984741,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
224,2022-12-01,118.3499984741,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,2022-12-02,117.3000030518,0,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0
226,2022-12-05,117.4499969482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,2022-12-06,115.3000030518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,2022-12-07,114.5999984741,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,2022-12-08,113.25,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,2022-12-09,115.0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
231,2022-12-12,113.9000015259,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,2022-12-13,113.4000015259,0,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0
233,2022-12-14,114.8000030518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,2022-12-15,114.9000015259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
